Number,is_canceled,lead_time,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,booking_changes,deposit_type,customer_type,adr,total_of_special_requests
12095,0,25,2,2,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,114.5,1
12096,0,168,4,10,2,0,0,BB,TA/TO,0,0,0,E,0,No Deposit,Transient,106.57,1
12097,0,0,0,1,2,2,0,BB,TA/TO,0,0,0,G,0,No Deposit,Transient,179,0
12098,0,1,0,1,1,0,0,BB,TA/TO,0,0,0,E,0,No Deposit,Transient-Party,109,1
12099,0,183,1,1,1,0,0,HB,TA/TO,0,0,0,A,1,No Deposit,Transient-Party,54.5,0
12100,0,162,2,5,2,0,0,HB,TA/TO,0,0,0,D,0,No Deposit,Transient,93.8,0
12101,1,29,1,5,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,230,1
12102,0,0,1,0,2,0,0,BB,TA/TO,0,0,0,D,0,No Deposit,Transient,48,0
12103,1,247,1,4,2,0,0,BB,TA/TO,0,0,0,E,0,No Deposit,Transient,55.8,0
12104,0,204,4,6,2,0,0,HB,TA/TO,0,0,0,A,0,No Deposit,Contract,68.95,0
12105,1,294,2,4,1,0,0,HB,Direct,0,0,0,A,1,No Deposit,Transient,84.5,0
12106,1,322,16,40,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,25.5,0
12107,0,39,1,1,2,0,0,BB,TA/TO,0,0,0,F,0,No Deposit,Transient,121,1
12108,1,73,0,1,2,0,0,BB,TA/TO,0,0,0,D,0,No Deposit,Transient,154,0
12109,0,0,0,1,2,0,0,BB,Direct,1,0,1,A,0,No Deposit,Transient,38,0
12110,0,17,2,5,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,209,1
12111,0,65,0,0,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,0,0
12112,1,13,0,3,2,0,0,BB,Direct,0,0,0,D,0,No Deposit,Transient,92,0
12113,0,100,2,1,2,0,0,Undefined,TA/TO,0,0,0,A,0,No Deposit,Transient-Party,83,1
12114,1,46,7,19,1,0,0,BB,Direct,0,0,0,A,0,No Deposit,Transient-Party,30,1
12115,1,66,1,1,1,0,0,FB,TA/TO,0,0,0,A,0,No Deposit,Transient-Party,52,0
12116,0,45,8,20,2,0,0,Undefined,TA/TO,0,0,0,E,2,No Deposit,Transient,79,0
12117,0,137,1,2,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,164,0
12118,1,168,2,6,2,0,0,BB,TA/TO,0,0,0,E,1,No Deposit,Transient,237.5,2
12119,0,4,1,0,1,0,0,BB,Corporate,0,0,0,A,0,No Deposit,Transient,30,0
12120,0,25,1,1,2,0,0,BB,TA/TO,0,0,0,F,0,No Deposit,Transient,130.13,1
12121,1,126,0,1,2,0,0,BB,Corporate,0,0,0,A,2,No Deposit,Transient,0,0
12122,0,275,2,5,2,0,0,HB,Direct,0,0,0,D,0,No Deposit,Transient-Party,74.45,0
12123,0,27,3,9,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,41.4,0
12124,1,157,2,5,2,0,0,BB,TA/TO,0,0,0,C,0,No Deposit,Transient,158.57,0
12125,0,296,4,8,2,0,0,BB,TA/TO,0,0,0,D,0,No Deposit,Contract,48.75,1
12126,1,3,1,0,1,0,0,BB,Corporate,0,0,0,A,0,No Deposit,Transient-Party,39,0
12127,1,11,1,3,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,45.5,0
12128,0,30,0,2,3,1,0,BB,TA/TO,0,0,0,H,1,No Deposit,Transient,93,1
12129,0,68,1,3,2,0,0,BB,TA/TO,0,0,0,D,0,No Deposit,Transient,135,2
12130,0,174,1,3,1,0,0,BB,Direct,1,1,7,A,1,No Deposit,Transient,63.9,4
12131,1,250,2,7,2,0,0,HB,TA/TO,0,0,0,E,0,No Deposit,Transient,88.4,0
12132,0,15,0,3,2,0,0,HB,TA/TO,1,0,0,D,0,No Deposit,Transient-Party,88,2
12133,0,4,1,0,2,0,0,BB,Direct,0,0,0,A,0,No Deposit,Transient,73,0
12134,0,282,2,5,2,2,0,HB,Direct,0,0,0,C,1,No Deposit,Transient-Party,154.8,1
12135,0,3,0,2,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,48,1
12136,1,60,1,0,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,189,0
12137,1,33,2,5,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,174.71,2
12138,0,220,2,5,2,0,0,HB,TA/TO,0,0,0,A,2,No Deposit,Transient,81,1
12139,0,164,2,5,2,0,0,HB,TA/TO,0,0,0,A,0,No Deposit,Transient,61.2,0
12140,0,65,1,2,2,0,0,BB,TA/TO,0,0,0,D,0,No Deposit,Transient,192.67,1
12141,0,236,2,5,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,59.4,1
12142,0,81,0,3,2,0,0,HB,TA/TO,0,0,0,A,1,No Deposit,Transient-Party,86.55,0
12143,1,187,4,7,2,0,0,HB,TA/TO,0,0,0,A,0,No Deposit,Transient,151,0
12144,0,0,1,1,2,0,0,BB,Direct,0,0,0,A,2,No Deposit,Transient,47,0
12145,0,28,2,4,2,0,0,HB,TA/TO,0,0,0,E,1,No Deposit,Transient,105.5,2
12146,0,0,0,2,2,0,0,BB,TA/TO,0,0,0,D,0,No Deposit,Transient-Party,64,1
12147,0,16,1,4,2,0,0,HB,TA/TO,0,0,0,A,0,No Deposit,Transient,112.88,1
12148,0,36,2,5,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,43.4,0
12149,1,112,0,2,2,0,0,FB,TA/TO,0,0,0,A,0,No Deposit,Transient-Party,68,0
12150,1,274,2,5,2,0,0,BB,TA/TO,0,0,0,D,0,No Deposit,Transient,97.46,1
12151,0,177,2,5,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Contract,36.13,0
12152,0,0,0,1,1,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,39,0
12153,1,178,1,1,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,48.06,1
12154,0,2,0,2,1,0,0,BB,TA/TO,0,0,0,D,0,No Deposit,Transient,219,2
12155,1,155,0,1,2,0,0,BB,Direct,0,0,0,A,0,Non Refund,Transient,36,0
12156,0,76,2,3,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,74.7,0
12157,0,3,0,1,2,0,0,BB,Direct,0,0,0,D,0,No Deposit,Transient,78,0
12158,0,0,0,1,1,0,0,BB,Direct,1,0,1,A,1,No Deposit,Transient,40,0
12159,1,124,2,5,2,0,0,HB,TA/TO,0,0,0,A,0,Non Refund,Transient,80,0
12160,1,87,2,5,2,0,0,BB,TA/TO,0,0,0,D,0,Non Refund,Transient,58,0
12161,0,0,1,0,2,0,0,BB,Direct,0,0,0,A,0,No Deposit,Transient,50,1
12162,1,50,0,3,1,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,43,0
12163,0,187,3,7,2,0,0,HB,TA/TO,0,0,0,E,1,No Deposit,Transient,108,2
12164,1,273,1,5,2,0,0,BB,TA/TO,0,0,0,D,0,No Deposit,Transient,81.18,0
12165,0,8,0,2,2,0,0,BB,TA/TO,0,0,0,D,0,No Deposit,Transient,43,1
12166,0,9,0,1,1,0,0,BB,Corporate,0,0,0,A,0,No Deposit,Transient,25,0
12167,0,13,0,1,1,0,0,BB,TA/TO,1,0,2,A,0,No Deposit,Transient,65,0
12168,0,0,0,1,1,0,0,BB,Direct,0,0,0,A,0,No Deposit,Transient-Party,50,0
12169,1,0,0,1,2,0,0,BB,TA/TO,0,0,0,A,0,Non Refund,Transient,55,0
12170,0,2,0,1,1,0,0,BB,Direct,0,0,4,A,0,No Deposit,Transient,75,0
12171,1,3,0,2,1,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,107.6,0
12172,1,72,2,1,2,0,0,HB,Direct,0,0,0,D,0,No Deposit,Transient-Party,73.33,0
12173,1,168,1,3,2,0,0,BB,TA/TO,0,0,0,A,0,Non Refund,Transient,80,0
12174,0,14,0,0,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,0,1
12175,0,1,1,0,2,2,0,HB,Direct,0,0,0,C,0,No Deposit,Transient,282,0
12176,0,1,0,3,1,0,0,BB,TA/TO,0,0,0,E,0,No Deposit,Transient,91,1
12177,0,4,0,1,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,68,0
12178,0,7,0,3,2,0,0,BB,Corporate,0,0,0,A,2,No Deposit,Transient-Party,44.5,0
12179,0,150,2,5,1,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,140,0
12180,0,241,2,5,2,0,0,BB,TA/TO,0,0,0,E,0,No Deposit,Transient-Party,99,2
12181,0,12,0,2,2,0,0,BB,TA/TO,1,0,2,D,0,No Deposit,Transient,65,1
12182,0,13,1,2,2,0,0,BB,Direct,0,0,0,D,0,No Deposit,Transient,107.4,0
12183,0,20,0,1,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,48,2
12184,0,161,2,5,2,0,0,BB,Direct,0,0,0,F,0,No Deposit,Transient,239,1
12185,0,53,2,5,1,0,0,HB,TA/TO,0,0,0,A,0,No Deposit,Transient-Party,40,0
12186,1,199,1,1,2,0,0,HB,TA/TO,0,0,0,A,0,No Deposit,Transient-Party,85,0
12187,0,17,2,5,2,0,0,BB,Corporate,0,0,0,A,1,No Deposit,Transient-Party,48,0
12188,0,41,2,5,1,0,0,Undefined,TA/TO,0,0,0,A,0,No Deposit,Transient,47,0
12189,1,195,1,5,2,0,0,HB,TA/TO,0,0,0,E,0,No Deposit,Transient,231,0
12190,1,47,0,4,2,0,0,BB,TA/TO,0,0,0,D,0,No Deposit,Transient,219,0
12191,1,289,1,2,2,0,0,HB,TA/TO,0,1,0,A,0,No Deposit,Transient-Party,57,0
12192,1,35,0,3,2,0,0,BB,Direct,0,0,0,A,1,No Deposit,Transient,185,1
12193,1,282,4,10,2,2,0,BB,TA/TO,0,0,0,C,0,No Deposit,Transient,160.17,0
12194,0,310,4,10,2,0,0,BB,TA/TO,0,0,0,E,0,No Deposit,Transient,94.62,0
12195,0,2,2,1,2,0,0,BB,TA/TO,0,0,1,D,0,No Deposit,Transient,64,0
12196,0,44,0,3,2,0,0,BB,Corporate,0,0,0,A,1,No Deposit,Contract,50,0
12197,0,1,0,2,2,0,0,BB,Direct,0,0,0,D,0,No Deposit,Transient,144.5,0
12198,1,45,2,5,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,42,0
12199,1,78,1,2,2,0,0,FB,TA/TO,0,0,0,A,0,Non Refund,Transient,92,0
12200,0,48,2,5,2,0,0,BB,TA/TO,0,0,0,D,0,No Deposit,Transient,123,1
12201,1,41,0,2,2,0,0,HB,TA/TO,0,0,0,A,1,No Deposit,Transient,57.6,0
12202,0,269,0,1,2,0,0,HB,TA/TO,0,0,0,A,0,No Deposit,Transient,49.5,0
12203,0,41,3,6,2,0,0,BB,TA/TO,0,0,0,D,0,No Deposit,Transient,83.09,2
12204,0,41,0,3,2,0,0,BB,TA/TO,0,0,0,D,0,No Deposit,Transient,145.87,1
12205,0,0,0,1,1,0,0,BB,Direct,0,0,0,A,1,No Deposit,Transient,39,0
12206,0,167,2,5,3,0,0,BB,Direct,0,0,0,F,0,No Deposit,Transient,167,0
12207,0,151,0,2,2,0,0,BB,TA/TO,0,0,0,A,1,No Deposit,Transient,99,1
12208,0,47,2,3,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,48.4,1
12209,0,94,2,3,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,30.24,0
12210,0,0,1,0,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Group,103.18,0
12211,1,30,0,2,1,2,0,BB,TA/TO,0,0,0,G,0,No Deposit,Transient-Party,135,0
12212,1,26,1,2,2,0,0,BB,TA/TO,0,0,0,E,0,No Deposit,Transient,88.33,0
12213,1,277,2,2,2,0,0,Undefined,TA/TO,0,0,0,A,0,Non Refund,Transient,110,0
12214,1,40,2,3,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,48,0
12215,0,1,0,1,1,0,0,BB,Corporate,1,0,3,A,0,No Deposit,Transient,65,0
12216,0,349,4,7,2,0,0,HB,TA/TO,0,0,0,E,0,No Deposit,Contract,111.3,0
12217,0,8,0,1,1,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,70,1
12218,1,178,2,5,2,0,0,BB,Direct,0,0,0,E,0,No Deposit,Transient,203.13,2
12219,1,70,0,4,2,0,0,BB,Corporate,0,0,0,A,0,No Deposit,Transient-Party,42,0
12220,0,1,0,1,1,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,42.4,0
12221,0,68,2,3,1,0,0,BB,Direct,0,0,0,F,0,No Deposit,Transient,86.2,0
12222,0,226,2,5,2,0,0,BB,TA/TO,0,0,0,E,0,No Deposit,Contract,87.75,0
12223,0,13,2,8,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,36,0
12224,0,29,0,2,3,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,42.08,1
12225,1,304,2,2,2,0,0,HB,TA/TO,0,0,0,D,2,No Deposit,Transient,185.4,2
12226,1,34,2,5,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,58.57,0
12227,0,235,4,10,2,0,0,HB,TA/TO,0,0,0,D,0,No Deposit,Transient,92.36,0
12228,0,175,2,6,2,0,0,BB,Direct,0,0,0,E,0,No Deposit,Transient,159.5,0
12229,1,247,1,2,2,0,0,HB,TA/TO,0,0,0,A,0,No Deposit,Transient,79.66,0
12230,0,52,0,2,2,0,0,BB,TA/TO,0,0,0,E,0,No Deposit,Transient,154.1,1
12231,0,114,2,5,2,0,0,HB,TA/TO,0,0,0,A,0,No Deposit,Contract,85.5,0
12232,0,222,4,6,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Contract,50.48,1
12233,0,75,2,5,2,0,0,HB,Direct,0,0,0,E,0,No Deposit,Transient,114.3,0
12234,1,10,2,5,2,0,0,BB,Direct,0,0,0,G,0,No Deposit,Transient,142,0
12235,1,134,2,5,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,85,1
12236,0,34,1,2,2,0,0,BB,TA/TO,0,0,0,D,0,No Deposit,Transient,62,1
12237,0,204,2,1,2,1,0,HB,TA/TO,0,0,0,A,0,No Deposit,Transient-Party,168.6,2
12238,1,41,1,3,2,0,0,BB,Direct,0,0,0,A,0,No Deposit,Transient,112.34,0
12239,0,238,2,2,2,0,0,BB,TA/TO,0,0,0,E,0,No Deposit,Transient,88,1
12240,0,50,2,5,2,0,0,HB,TA/TO,0,0,0,A,0,No Deposit,Transient,61.65,2
12241,1,181,6,19,2,0,0,HB,TA/TO,0,0,0,A,0,No Deposit,Transient-Party,58.6,0
12242,0,94,1,3,3,0,0,HB,TA/TO,0,0,0,A,1,No Deposit,Transient-Party,88,0
12243,0,13,0,2,2,0,0,BB,Direct,0,0,0,A,0,No Deposit,Transient,40,1
12244,0,82,4,10,2,0,0,HB,Direct,0,0,0,A,1,No Deposit,Transient,159,0
12245,0,67,4,9,2,1,0,BB,Direct,0,0,0,C,1,No Deposit,Transient,221.62,0
12246,0,1,0,2,1,0,0,BB,Direct,0,0,0,D,0,No Deposit,Transient,66,0
12247,0,32,1,0,2,0,0,BB,TA/TO,0,0,0,A,1,No Deposit,Transient,32,0
12248,1,23,1,4,2,1,0,BB,TA/TO,0,0,0,C,1,No Deposit,Transient-Party,255,2
12249,0,83,0,3,2,0,0,HB,TA/TO,0,0,0,D,0,No Deposit,Transient,75.6,1
12250,0,20,2,5,2,0,0,BB,TA/TO,0,0,0,D,0,No Deposit,Contract,137,0
12251,0,6,1,4,1,0,0,BB,Corporate,0,0,0,A,2,No Deposit,Transient-Party,29,0
12252,0,0,0,1,1,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,56,0
12253,0,1,1,1,2,0,0,BB,Direct,0,0,0,A,0,No Deposit,Transient,201,0
12254,0,146,2,7,2,0,0,HB,TA/TO,0,0,0,A,0,No Deposit,Transient,100.8,1
12255,0,0,0,1,1,0,0,BB,Direct,0,0,0,A,0,No Deposit,Transient,39,0
12256,1,67,0,2,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,73.8,1
12257,0,35,0,3,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,48,1
12258,0,101,2,1,2,0,0,BB,TA/TO,0,0,0,E,0,No Deposit,Transient,166,0
12259,0,57,2,2,2,2,0,BB,TA/TO,0,0,0,G,0,No Deposit,Transient,264,2
12260,0,1,0,1,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,121,0
12261,0,203,0,3,2,0,0,BB,TA/TO,0,0,0,D,0,No Deposit,Transient-Party,60,1
12262,1,30,0,2,1,0,0,BB,TA/TO,0,0,0,E,0,No Deposit,Transient,105,0
12263,0,232,4,10,2,0,0,BB,TA/TO,0,0,0,D,0,No Deposit,Transient,90,2
12264,0,14,1,2,2,0,0,BB,TA/TO,0,0,0,E,0,No Deposit,Transient,131,0
12265,0,10,1,1,3,0,0,Undefined,Corporate,0,0,0,A,0,No Deposit,Transient-Party,120,0
12266,0,8,1,1,2,0,0,BB,Direct,0,0,0,A,0,No Deposit,Transient,109,0
12267,0,1,0,1,1,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,64,0
12268,0,95,2,5,2,0,0,BB,TA/TO,1,0,1,D,0,No Deposit,Contract,50.85,1
12269,0,229,1,1,2,0,0,HB,Direct,0,0,0,D,4,No Deposit,Transient-Party,115,1
12270,0,29,2,3,2,0,0,BB,Direct,0,0,0,D,0,No Deposit,Transient,123,0
12271,0,15,0,2,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,174,1
12272,0,162,0,3,2,0,0,Undefined,TA/TO,0,0,0,A,0,No Deposit,Transient-Party,84,0
12273,0,225,1,3,2,0,0,BB,Direct,0,0,0,A,2,No Deposit,Transient-Party,68,0
12274,0,7,1,3,2,0,0,BB,Corporate,0,0,0,A,0,No Deposit,Transient-Party,37,0
12275,1,101,2,5,2,0,1,HB,TA/TO,0,0,0,E,0,No Deposit,Transient,196,2
12276,0,11,0,2,2,0,0,BB,TA/TO,0,0,0,E,0,No Deposit,Transient,90,2
12277,0,6,1,0,2,0,0,BB,Direct,0,0,0,E,0,No Deposit,Transient,176,0
12278,0,7,1,2,1,0,0,BB,Corporate,0,0,0,A,0,No Deposit,Transient,38.5,0
12279,0,1,1,1,2,0,0,BB,Direct,0,0,0,A,0,No Deposit,Transient,110,0
12280,0,141,2,5,2,0,0,FB,TA/TO,0,0,0,D,3,No Deposit,Transient,107.1,2
12281,0,195,4,6,1,0,0,BB,TA/TO,0,0,0,A,1,No Deposit,Transient-Party,41.94,0
12282,0,165,0,4,1,0,0,HB,TA/TO,0,0,0,A,1,No Deposit,Transient-Party,84.5,0
12283,0,152,2,5,1,0,0,Undefined,TA/TO,0,0,0,A,0,No Deposit,Transient,47,0
12284,0,201,2,2,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,86.2,0
12285,1,277,2,2,2,0,0,Undefined,TA/TO,0,0,0,A,0,Non Refund,Transient,110,0
12286,0,149,2,6,2,0,0,BB,TA/TO,0,0,0,D,0,No Deposit,Transient,47.97,0
12287,1,206,6,12,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,34.8,0
12288,0,138,2,5,1,0,0,Undefined,TA/TO,0,0,0,A,1,No Deposit,Transient,49,0
12289,0,9,2,2,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,84.5,2
12290,1,227,2,5,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,126,0
12291,1,5,0,1,1,0,0,BB,TA/TO,0,0,0,E,0,No Deposit,Transient,80,0
12292,0,106,1,4,2,0,0,BB,TA/TO,0,0,0,D,0,No Deposit,Transient,209,1
12293,0,0,0,1,2,3,0,BB,Direct,0,0,0,G,1,No Deposit,Transient,93,0
12294,0,12,0,1,2,0,0,BB,Direct,0,0,0,A,0,No Deposit,Transient,209,0
12295,1,273,4,10,2,0,0,BB,TA/TO,0,0,0,E,0,No Deposit,Transient,179.66,2
12296,1,275,2,0,2,0,0,HB,TA/TO,0,26,0,A,0,Non Refund,Transient,50,0
12297,0,177,2,4,2,0,0,BB,Direct,0,0,0,F,0,No Deposit,Transient,239,1
12298,0,30,2,2,2,0,0,BB,TA/TO,0,0,0,E,0,No Deposit,Transient,105,1
12299,0,12,2,2,2,0,0,BB,TA/TO,0,0,0,D,1,No Deposit,Transient,193.5,1
12300,1,312,4,6,2,0,0,HB,TA/TO,0,0,0,D,0,No Deposit,Transient,28,0
12301,0,183,0,1,1,0,0,BB,TA/TO,0,0,0,E,0,No Deposit,Transient-Party,95,0
12302,0,0,0,2,2,0,0,BB,Direct,0,0,0,D,1,No Deposit,Transient,76,1
12303,1,22,2,5,2,1,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,51.84,0
12304,0,105,2,4,2,0,0,Undefined,TA/TO,0,0,0,A,0,No Deposit,Transient-Party,69,0
12305,0,1,0,2,1,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,43,2
12306,0,351,2,5,2,0,0,HB,TA/TO,0,0,0,D,0,No Deposit,Transient-Party,84,0
12307,1,31,0,3,1,0,0,BB,Direct,0,0,0,A,0,No Deposit,Transient,31,0
12308,0,247,2,3,2,0,0,BB,TA/TO,0,0,0,D,1,No Deposit,Transient,56,1
12309,0,5,0,1,1,0,0,BB,TA/TO,0,0,0,A,1,No Deposit,Transient,29,1
12310,0,80,0,2,2,0,0,BB,TA/TO,0,0,0,D,0,No Deposit,Transient-Party,7,1
12311,0,1,0,1,2,0,0,HB,Direct,0,0,0,A,0,No Deposit,Transient,79,1
12312,1,119,1,0,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,40.5,1
12313,0,0,0,1,2,0,0,BB,Direct,0,0,0,A,0,No Deposit,Transient,43,0
12314,0,150,2,5,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,96.3,1
12315,1,222,1,5,2,0,0,FB,Corporate,0,25,0,A,0,Non Refund,Transient,49.95,0
12316,1,17,2,2,2,0,0,HB,TA/TO,0,0,0,A,0,No Deposit,Transient,86,0
12317,0,8,0,1,1,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,26,0
12318,0,16,1,0,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,100.2,3
12319,0,0,0,0,2,0,0,BB,Direct,1,0,0,A,0,No Deposit,Transient,0,0
12320,0,21,2,2,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,48,1
12321,0,12,1,4,2,0,0,HB,TA/TO,0,0,0,A,0,No Deposit,Transient,61,0
12322,0,200,2,5,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,106.56,1
12323,1,268,4,10,2,0,0,HB,TA/TO,0,0,0,D,0,No Deposit,Transient,183.59,1
12324,0,14,0,1,2,0,0,BB,TA/TO,0,0,0,D,0,No Deposit,Transient-Party,100,1
12325,0,0,0,1,1,0,0,BB,Corporate,1,0,1,A,0,No Deposit,Transient,74,0
12326,0,126,0,2,2,0,0,BB,TA/TO,0,0,0,E,0,No Deposit,Transient,64.8,0
12327,0,43,0,2,2,2,0,HB,TA/TO,0,0,0,G,0,No Deposit,Transient,148,1
12328,0,14,1,4,2,0,0,HB,TA/TO,0,0,0,A,0,No Deposit,Transient,265,2
12329,0,66,2,4,2,1,0,BB,Direct,0,0,0,F,0,No Deposit,Transient,100.27,0
12330,1,167,2,5,1,0,0,BB,TA/TO,0,0,0,D,0,No Deposit,Transient-Party,99,0
12331,1,23,2,2,2,0,0,HB,TA/TO,0,0,0,D,0,No Deposit,Transient,156.25,1
12332,0,132,1,4,2,1,0,BB,TA/TO,0,0,0,D,0,No Deposit,Transient,152.9,1
12333,0,16,2,2,2,0,0,BB,TA/TO,0,0,0,G,1,No Deposit,Transient-Party,187.5,1
12334,0,2,2,3,2,3,0,BB,Corporate,0,0,0,H,1,No Deposit,Transient,140,3
12335,0,82,3,5,3,0,0,HB,Direct,0,0,0,F,1,No Deposit,Transient,344,2
12336,0,159,2,2,1,0,0,HB,Corporate,0,0,0,D,0,No Deposit,Transient-Party,58,0
12337,0,3,0,1,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,189,2
12338,1,135,0,2,2,0,0,BB,Direct,0,0,0,D,0,No Deposit,Transient,57.8,0
12339,0,134,4,10,2,0,0,BB,Direct,0,0,0,D,0,No Deposit,Transient,84.39,0
12340,0,5,1,1,1,0,0,BB,Corporate,1,0,1,A,0,No Deposit,Transient-Party,54,0
12341,0,136,2,2,2,0,0,BB,TA/TO,0,0,0,E,0,No Deposit,Transient,123.8,0
12342,0,61,2,1,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,127,1
12343,0,7,0,1,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient-Party,140,0
12344,1,177,1,3,2,2,0,HB,TA/TO,0,0,0,G,0,No Deposit,Transient,318,0
12345,0,78,0,2,2,0,0,BB,TA/TO,0,0,0,F,0,No Deposit,Transient,232,1
12346,1,121,2,5,2,0,0,HB,Direct,0,0,0,D,0,Non Refund,Transient,72,0
12347,1,1,0,3,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,171,0
12348,1,8,0,1,1,0,0,BB,Corporate,0,0,0,A,0,No Deposit,Transient,45,0
12349,1,37,0,3,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,42,1
12350,1,26,0,1,2,0,0,BB,Direct,0,1,0,D,0,No Deposit,Transient,48,0
12351,0,13,0,1,2,0,0,BB,Direct,0,0,1,A,0,No Deposit,Transient,48,2
12352,0,247,2,5,2,0,0,HB,TA/TO,0,0,0,A,0,No Deposit,Transient,80.76,0
12353,0,70,0,4,2,0,0,BB,Corporate,0,0,0,A,0,No Deposit,Transient-Party,42,0
12354,0,13,0,5,2,0,0,BB,Direct,0,0,0,F,0,No Deposit,Transient,229,0
12355,0,105,2,5,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Contract,40.95,0
12356,0,31,0,2,2,0,0,HB,Direct,1,0,0,A,0,No Deposit,Transient-Party,305,1
12357,1,197,2,4,2,0,0,HB,TA/TO,0,0,0,E,1,No Deposit,Transient,127.8,2
12358,0,33,0,3,2,0,0,BB,Corporate,0,0,0,A,2,No Deposit,Transient,56,0
12359,0,20,2,4,2,0,0,HB,TA/TO,0,0,0,E,1,No Deposit,Transient,102,2
12360,0,7,1,0,1,0,0,BB,TA/TO,0,0,4,A,0,No Deposit,Transient,34.4,1
12361,0,176,2,6,2,2,0,BB,TA/TO,0,0,0,C,1,No Deposit,Transient,135.2,3
12362,0,238,0,3,2,0,0,BB,TA/TO,0,0,0,D,0,No Deposit,Transient,107,2
12363,1,275,2,0,2,0,0,HB,TA/TO,0,26,0,A,0,Non Refund,Transient,50,0
12364,0,0,1,0,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,29,0
12365,0,57,2,6,2,0,0,HB,TA/TO,0,0,0,A,0,No Deposit,Transient-Party,135,1
12366,0,159,2,2,1,0,0,HB,Corporate,0,0,0,D,0,No Deposit,Transient-Party,58,0
